Title,Abstract,Tag,Type
 Effect of an intensive lifestyle intervention on atrial fibrillation risk inindividuals with type 2 diabetes: the Look AHEAD randomized trial. ," BACKGROUND: Obesity is associated with higher risk of atrial fibrillation (AF),but the impact of behavioral weight loss interventions on atrial fibrillation(AF) risk in persons with diabetes is unknown. We addressed this question in theLook AHEAD randomized trial. METHODS AND RESULTS: A total of 5,067 overweight orobese individuals 45 to 76 years old with type 2 diabetes without prevalent AFwere randomized to either an intensive lifestyle intervention (ILI) designed toachieve and maintain weight loss through caloric reduction and increased physicalactivity or a diabetes support and education usual care group. Atrialfibrillation was ascertained from electrocardiograms at study examinations andhospitalization discharge summaries. Multivariable Cox models were used toestimate the intention-to-treat effect of the intervention adjusting for baselinecovariates. During a mean follow-up of 9.0 years, 294 incident AF cases wereidentified. Rates of AF were comparable in the ILI and diabetes support andeducation groups (6.1 and 6.7 cases per 1,000 person-years, respectively, P =.42). The intervention did not affect AF incidence (multivariable hazard ratio[HR] 0.99, 95% CI 0.77-1.28). Similarly, neither weight loss nor improvement inphysical fitness during the first year of the intervention was significantlyassociated with AF incidence: multivariable hazard ratio (95% CI) comparing topversus bottom quartile was 0.70 (0.41-1.18) for weight loss and 0.88 (0.55-1.43)for physical fitness improvement. CONCLUSION: In a large randomized trial ofoverweight and obese individuals with type 2 diabetes, an ILI that induced modestweight loss did not reduce the risk of developing AF. ",no,old
" Efficacy and safety of rivaroxaban in patients with diabetes and nonvalvularatrial fibrillation: the Rivaroxaban Once-daily, Oral, Direct Factor XaInhibition Compared with Vitamin K Antagonism for Prevention of Stroke andEmbolism Trial in Atrial Fibrillation (ROCKET AF Trial). "," BACKGROUND: The prevalence of both atrial fibrillation (AF) and diabetes mellitus(DM) are rising, and these conditions often occur together. Also, DM is anindependent risk factor for stroke in patients with AF. We aimed to examine thesafety and efficacy of rivaroxaban vs warfarin in patients with nonvalvular AFand DM in a prespecified secondary analysis of the ROCKET AF trial. METHODS: Westratified the ROCKET AF population by DM status, assessed associations with riskof outcomes by DM status and randomized treatment using Cox proportional hazardsmodels, and tested for interactions between randomized treatments. For efficacy,primary outcomes were stroke (ischemic or hemorrhagic) or non-central nervoussystem embolism. For safety, the primary outcome was major or nonmajor clinicallyrelevant bleeding. RESULTS: The 5,695 patients with DM (40%) in ROCKET AF wereyounger, were more obese, and had more persistent AF, but fewer had previousstroke (the CHADS2 score includes DM and stroke). The relative efficacy ofrivaroxaban and warfarin for prevention of stroke and systemic embolism wassimilar in patients with (1.74 vs 2.14/100 patient-years, hazard ratio [HR] 0.82)and without (2.12 vs 2.32/100 patient-years, HR 0.92) DM (interaction P = .53).The safety of rivaroxaban vs warfarin regarding major bleeding (HRs 1.00 and 1.12for patients with and without DM, respectively; interaction P = .43), major ornonmajor clinically relevant bleeding (HRs 0.98 and 1.09; interaction P = .17),and intracerebral hemorrhage (HRs 0.62 and 0.72; interaction P = .67) wasindependent of DM status. Adjusted exploratory analyses suggested 1.3-, 1.5-, and1.9-fold higher 2-year rates of stroke, vascular mortality, and myocardialinfarction in DM patients. CONCLUSIONS AND RELEVANCE: The relative efficacy andsafety of rivaroxaban vs warfarin was similar in patients with and without DM,supporting use of rivaroxaban as an alternative to warfarin in diabetic patientswith AF. ",no,old
 Duration of Diabetes Mellitus and Risk of Thromboembolism and Bleeding in AtrialFibrillation: Nationwide Cohort Study. ," BACKGROUND AND PURPOSE: Guidelines advocate anticoagulant treatment to allpatients with atrial fibrillation and concomitant diabetes mellitus. Thepotential refinement to thromboembolic risk stratification that may spring fromsubdividing diabetes mellitus is unexplored. The purpose was to investigateduration of diabetes mellitus as a predictor of thromboembolism andanticoagulant-related bleeding in patients with atrial fibrillation. METHODS:Using nationwide Danish registries, we identified all patients discharged fromhospital with an incident diagnosis of atrial fibrillation from 2000 to 2011.Hazard ratios with 95% confidence intervals for thromboembolism and bleedingaccording to years of diabetes mellitus duration in categories (0-4, 5-9, 10-14,and >/=15) and as a continuous variable using cubic splines were calculated byCox regression. RESULTS: The study population comprised 137 222 patients withatrial fibrillation, of which 12.4% had diabetes mellitus. Compared with patientswithout diabetes mellitus and after adjustment for anticoagulant treatment andCHA2DS2-VASc components (congestive heart failure, hypertension, age, previousstroke, vascular disease, and sex), the risk of thromboembolism was lowest in the0 to 4 years duration category (hazard ratio, 1.11; 95% confidence interval,1.03-1.20), and highest in the longest duration category of >/=15 years (hazardratio, 1.48; 95% confidence interval, 1.29-1.70). When analyzed as a continuousvariable, duration of diabetes mellitus was associated with risk ofthromboembolism in a dose-response-dependent manner, but not with a higher riskof bleeding during anticoagulant treatment. CONCLUSIONS: In patients with atrialfibrillation, longer duration of diabetes mellitus was associated with a higherrisk of thromboembolism, but not with a higher risk of anticoagulant-relatedbleeding. Considering the critical balance between preventing thromboembolism andavoiding bleeding, longer duration of diabetes mellitus may favor initiation ofanticoagulant therapy. ",no,old
" Heart failure and comorbidities: renal failure, diabetes, atrial fibrillation,and inflammation. ","eart failure is a clinical syndrome that involves many organs outside the heart, most importantly the kidney.1,2 In a timely Clinical Review article entitled ‘The kidney in heart failure: an update’, Kevin Damman from the University Medical Center Groningen in The Netherlands3 reminds us of this fact. Renal dysfunction occurs frequently in all types of heart failure and, when present, is associated with higher mortality and morbidity.4While the pathophysiology is multifactorial, the most important factors are a reduced renal perfusion and venous congestion. Recent interest has focused on worsening renal function,5 a condition strongly related to mortality. Unfortunately, to date, clinicians have been unable to identify specifically those patients with a grim prognosis following worsening renal function. Although much has been learned regarding cardiorenal interaction in heart failure, many questions remain unanswered. Further research is needed for an updated classification of the cardiorenal syndrome, and to improve preventive and treatment strategies preserving renal function and improving outcome in heart failure patients.",no,old
 Elevated glycated hemoglobin levels may increase the risk of atrial fibrillationin patients with diabetes mellitus. ," BACKGROUND: As the most common cardiac arrhythmia, atrial fibrillation (AF) isalways accompanied with various complications if without detection and treatmenttimely. Blood-based pleiotropic molecule biomarkers have now been popularlyapplied in clinical detection. We hence performed this meta-analysis to evaluatethe correlation of serum glycated hemoglobin (HbA1c) levels with the risk of AFin patients with diabetes mellitus (DM). METHODS: Covering myriads ofcomputerized databases, we identified potential relevant studies for statisticalanalysis. We used a standard reporting form to extract data from each includedstudy. Newcastle-Ottawa Scale (NOS) criteria was used for methodological qualityassessment. Statistical analyses were conducted with the STATA statisticalsoftware. RESULTS: Six cohort studies in full text fulfilled our inclusioncriteria, and following overestimation indicated that serum levels of HbA1c in DMpatients with AF was higher than that in DM patients without AF (SMD = 0.67, 95%CI: 0.39-0.94, P < 0.001). Subgroup analyses by sample size and detection methodimplicated that elevated serum HbA1c levels exhibited significant correlationswith an increased risk of AF in DM patients in the large-size subgroup (n >/=200), the small-size subgroup (n < 200), the high performance liquidchromatography (HPLC) subgroup and the non-HPLC subgroup (Large-size: SMD = 0.70,95% CI: 0.38-1.03, P < 0.001; Small-size: SMD = 0.64, 95% CI: 0.09-1.19, P =0.023; HPLC: SMD = 0.81, 95% CI: 0.49-1.12, P < 0.001; Non-HPLC: SMD = 0.36, 95%CI: 0.04-0.68, P = 0.029; respectively). CONCLUSION: Elevated serum HbA1c levelsmay be associated with an increased risk of AF in DM patients, possiblyreflecting that serum HbA1c level might be a potential biomarker in theprediction of AF in DM patients. ",no,old
 Patients with atrial fibrillation and diabetes: does apixaban remain the drug ofchoice? ,"In conclusion, this subgroup analysis of the ARISTOTLE trial has confirmed the efficacy of apixaban in reducing stroke or systemic embolism, all-cause mortality, and intracranial haemorrhage when compared with warfarin in patients with and without diabetes. While the reduction of other major bleeding with apixaban in the diabetic patients seems to be less when compared with non-diabetic patients, apixaban should still remain a preferred option for thromboembolism prevention in patients with AF and diabetes.",no,old
 Clinical outcomes of patients with diabetes and atrial fibrillation treated withapixaban: results from the ARISTOTLE trial. ," AIMS: We compared clinical outcomes in patients with AF with and without diabetesin the Apixaban for Reduction in Stroke and Other Thromboembolic Events in AtrialFibrillation trial. METHODS AND RESULTS: The main efficacy endpoints were SSE andmortality; safety endpoints were major and major/clinically relevant non-majorbleeding. A total of 4547/18 201 (24.9%) patients had diabetes who were younger(69 vs. 70 years), more had coronary artery disease (39 vs. 31%), and higher meanCHADS2 (2.9 vs. 1.9) and HAS-BLED scores (1.9 vs. 1.7) (all P < 0.0001) thanpatients without diabetes. Patients with diabetes receiving apixaban had lowerrates of SSE [hazard ratio (HR) 0.75, 95% confidence interval (CI) 0.53-1.05),all-cause mortality (HR 0.83, 95% CI 0.67-1.02), cardiovascular mortality (HR0.89, 95% CI 0.66-1.20), intra-cranial haemorrhage (HR 0.49, 95% CI 0.25-0.95),and a similar rate of myocardial infarction (HR 1.02, 95% CI 0.62-1.67) comparedwith warfarin. For major bleeding, a quantitative interaction was seen(P-interaction = 0.003) with a greater reduction in major bleeding in patientswithout diabetes even after multivariable adjustment. Other measures of bleedingshowed a consistent reduction with apixaban compared with warfarin without asignificant interaction based on diabetes status. CONCLUSION: Apixaban hassimilar benefits on reducing stroke, decreasing mortality, and causing lessintra-cranial bleeding than warfarin in patients with and without diabetes. ",no,old
 High risk factors of atrial fibrillation in type 2 diabetes: results from theChinese Kailuan study. ," BACKGROUND: The pathophysiological mechanisms for atrial fibrillation (AF)vulnerability in diabetic patients are largely unclear. AIM: To investigate thehigh risk factors of AF in Chinese Kailuan diabetes. DESIGN: A retrospectivereview of AF in Chinese Kailuan diabetes. METHODS: Research and statisticanalysis on the clinical data of 9050 diabetic patients from Kailuan Coal MineGroup Corporation who participated in a health survey from July 2006 to October2007. RESULTS: Sixty diabetic patients (50 males and 10 females) were diagnosedwith AF during the health checkup, with a prevalence of 0.66% (0.67% in males and0.62% in females). Univariate analysis showed that patients with AF were olderand had higher levels of serum uric acid (UA), pulse pressure, serum c-reactiveprotein and anti-hypertensive medication usage, but lower levels of fasting bloodglucose and triglycerides (TG). Multivariate analysis indicated that older age(OR = 1.09; 95% CI: 1.06-1.12), increased UA (OR = 1.01; 95% CI: 1.00-1.01) anddecreased TG (OR = 0.71; 95% CI: 0.55-0.92) were independent predictive factorsof AF after adjusting for other variables. After gender stratification, age andUA remained as independent predictive factors of AF in both male and femalepatients. However, TG had an independent inverse association with AF in malepatients only. CONCLUSIONS: Age and UA are independent predictive factors of AFin both male and female diabetic patients. TG is inversely correlated with AF inmale diabetic patients only. ",no,old
 Attacking complications to kidney problems in diabetes: atrial fibrillation andresistant hypertension. ,"Glycemic control in diabetes mellitus has been shown in landmark studies to keep circulatory, renal, and ophthalmologic complications at bay. However, once these patients with diabetes mellitus show signs of kidney dysfunction, clinicians must be vigilant for a host of other potential problems. - See more at: http://www.ajmc.com/journals/evidence-based-diabetes-management/2014/January-2014/Attacking-Complications-to-Kidney-Problems-in-Diabetes-Atrial-Fibrillation-and-Resistant-Hypertension/#sthash.TVjvgi0l.dpuf",no,old
" The Growing Financial and Quality-of-Life Burden Associated With AtrialFibrillation (Af), Diabetes, Chronic Obstructive Pulmonary Disease (Copd) AndAsthma in Ireland. ","Objectives
Estimate the number of preventable disease associated events and costs associated with poor management of patients with AF, diabetes, COPD and asthma.",no,old
 HbA1c levels as predictors of ablation outcome in type 2 diabetes mellitus andparoxysmal atrial fibrillation. ," AIMS: The aim of this study was to evaluate whether the levels of HbA1c couldpredict the outcome of ablation in patients with type 2 diabetes mellitus (T2DM)and paroxysmal atrial fibrillation (PAF). PATIENTS AND METHODS: The studycomprised 149 consecutive patients with T2DM and PAF who underwent their firstcircumferential pulmonary vein isolation. HbA1c levels were measured beforeablation. Cox proportional hazards models were constructed to assess therelationship between HbA1c levels and the recurrence of atrial fibrillation (AF).RESULTS: Of the 149 patients, 60 (40.3 %) developed AF recurrence after a median12-month follow-up. Multivariate Cox regression analysis revealed that leftatrium size and HbA1c were independent predictors of recurrent atrialtachyarrhythmia. Receiver operating characteristic analysis demonstrated that anHbA1c cut-off value of >/= 6.9 % predicted recurrence with 55.0 % sensitivity and67.4 % specificity (AUC = 0.634). The success rate of ablation was 69.0 % inpatients with an HbA1c value of < 6.9 % compared with 46.8 % in those with anHbA1c value of >/= 6.9 % (log-rank test, p = 0.004). CONCLUSION: High levels ofHbA1c were associated with an increased risk of recurrence of atrialtachyarrhythmia in patients with T2DM and PAF undergoing catheter ablation. ",no,old
 Beneficial effects of pioglitazone on retardation of persistent atrialfibrillation progression in diabetes mellitus patients. ," This study aimed to explore the effects of pioglitazone treatment on progressionfrom persistent atrial fibrillation (AF) to permanent atrial fibrillation indiabetes mellitus (DM) patients and to investigate the possible mechanismsinvolved in those effects.A total of 146 diabetes mellitus (DM) patients withfirstly identified persistent AF were selected. Seventy patients were randomizedinto the pioglitazone (30 mg/day) group and 76 into the placebo group.Pro-collagen type I carboxyterminal peptide (PICP), advanced glycation endproducts (AGEs), and angiotensin II were assayed and left atrial diameter (LAdiameter) was measured at the first presence of persistent AF, and at 6 and 14months of follow-up. The time point of identification of permanent AF and theincidence of permanent AF in the patients were all recorded.Thirty-seven (49%) ofthe 76 patients in the placebo group and 21 (30%) of the 70 patients in thepioglitazone group progressed to permanent AF (P = 0.028). No significantdifferences existed in the follow-up time (20.5 +/- 3.97 months for pioglitazonegroup versus 20.9 +/- 4.14 months for placebo group) between the two groups (P =0.535). In the pioglitazone group, no significant change was found in angiotensinII level. The PICP level did not change significantly at 6-months of follow-up,but decreased significantly at 14-months of follow-up (P = 0.032). The AGE (P =0.037 at 6-month follow-up, P < 0.035 at 14-month follow-up) level wassignificantly lower at both 6 and 14-months of followup.By lowering the PICPlevel, pioglitazone treatment may decrease the incidence of permanent AF in DMpatients with persistent AF, which may be associated with the suppressing effectof pioglitazone on AGEs. ",no,old
 Defining the role of oxidative stress in atrial fibrillation and diabetes. ,"AF may result from abnormalities in atrial electrical activity generated from improper impulse formation or propagation. This inappropriate activity is primarily associated with electrical and/or structural remodeling (e.g., ectopic activity or altered conduction caused by fibrosis). While the molecular mechanisms of AF are not completely understood, key factors that result in AF have been identified. One such factor is oxidative stress. Oxidative stress occurs when reactive oxygen species (ROS) generation exceeds degradation. Primary sources of ROS within the heart and associated with AF include mitochondria, NADPH oxidase, and xanthine oxidase.2, 3 Furthermore, in AF, there may be additional sources that elevate ROS production (e.g. monoamine oxidase).4 Finally, in AF, down regulation of enzymes that degrade ROS (e.g., superoxide dismutase and glutathione peroxidase) exacerbate oxidative stress phenotypes.5 Subsequently, elevated ROS may modify ion channel activity to increase AF susceptibility. For example, elevated ROS results in shortening of the atrial action potential duration (APD) by increasing the transient outward current (Ito)6 and producing delayed after depolarizations (DADs) by increasing sarcoplasmic reticulum (SR) Ca2+ release via enhanced ryanodine receptor (RyR) activity.7",no,old
 Autonomic dysfunction is associated with brief episodes of atrial fibrillation intype 2 diabetes. ," BACKGROUND AND AIMS: This study aimed to investigate the relationship betweenasymptomatic episodes of atrial fibrillation (AF) and abnormalities of theautonomic nervous system in type 2 diabetic patients who did not have evidence ofatrial fibrillation at baseline. METHODS AND RESULTS: In a multicentriccross-sectional controlled study, 1992 patients with type 2 diabetes werescreened. All underwent ambulatory ECG recording for 48-hour at 3, 6, 9, and12months. Heart rate variability (HRV) was used as indicator of autonomicactivity. One hundred seventy-six diabetics with silent atrial fibrillationepisodes (SAFE group) and 288 without silent atrial fibrillation (non-SAFE group)were enrolled. These selected diabetics were matched on clinical andanthropometric data to 120 control subjects without diabetes of the controlgroup. HRV analysis evidenced that LF/HF ratio was significantly higher in theSAFE group than in the non-SAFE group (P<0.05) in the whole period of HManalysis. AF absolute burdens were positively correlated with LF/HF ratio(r=0.31, P<0.001). Multiple regression analysis showed that LF/HF ratio was anindependent determinant of AF episodes. CONCLUSIONS: This study originally showeda strong relationship between autonomic dysfunction and silent atrialfibrillation in type 2 diabetes. ",no,old
 Impact of intensive glycemic control on the incidence of atrial fibrillation andassociated cardiovascular outcomes in patients with type 2 diabetes mellitus(from the Action to Control Cardiovascular Risk in Diabetes Study). ," Atrial fibrillation (AF) is prevalent in patients with type 2 diabetes mellitus(DM) and is associated with markers of poor glycemic control; however, the impactof glycemic control on incident AF and outcomes is unknown. The aims of thisstudy were to prospectively evaluate if intensive glycemic control in patientswith DM affects incident AF and to evaluate morbidity and mortality in patientswith DM and incident AF. A total of 10,082 patients with DM from the Action toControl Cardiovascular Risk in Diabetes (ACCORD) cohort were studied in arandomized, double-blind fashion. Participants were randomized to an intensivetherapeutic strategy targeting a glycated hemoglobin level of <6.0% or a standardstrategy targeting a glycated hemoglobin level of 7.0% to 7.9%. Incident AFoccurred in 159 patients (1.58%) over the follow-up period, at a rate of 5.9 per1,000 patient-years in the intensive-therapy group and a rate of 6.37 per 1,000patient-years in the standard-therapy group (p = 0.52). In a multivariate model,predictors of incident AF were age, weight, diastolic blood pressure, heart rate,and heart failure history. Patients with DM and new-onset AF had a hazard ratioof 2.65 for all-cause mortality (95% confidence interval 1.8 to 3.86, p <0.0001),a hazard ratio of 2.1 for myocardial infarction (95% confidence interval 1.33 to3.31, p = 0.0015), and a hazard ratio of 3.80 for the development of heartfailure (95% confidence interval 2.48 to 5.84, p <0.0001). In conclusion,intensive glycemic control did not affect the rate of new-onset AF. Patients withDM and incident AF had an increased risk for morbidity and mortality comparedwith those without AF. ",no,old
